Entity,Days
minecraft:cod,3
minecraft:pufferfish,5
minecraft:salmon,3
minecraft:tropical_fish,5
piscary:anchovy,3
piscary:angelfish,5
piscary:anglerfish,7
piscary:bass,3
piscary:blue_tang,5
piscary:bowfin,5
piscary:butterflyfish,5
piscary:carp,3
piscary:catfish,5
piscary:chub,3
piscary:damselfish,5
piscary:electric_ray,7
piscary:goldfish,3
piscary:koi,5
piscary:lamprey,5
piscary:lungfish,7
piscary:manta_ray,7
piscary:neon_tetra,3
piscary:northern_pike,5
piscary:perch,3
piscary:pickerel,5
piscary:piranha,7
piscary:pupfish,5
piscary:sardine,3
piscary:siamese_fighting_fish,5
piscary:silver_stripe_blaasop,7
piscary:stargazer,5
piscary:stingray,7
piscary:trout,3
piscary:tuna,5
piscary:walleye,3
